iter	Passed	Remaining
684	12598	5793
685	12607	5770
686	12617	5748
687	12627	5726
688	12633	5702
689	12640	5678
690	12650	5657
691	12659	5634
692	12668	5611
693	12680	5591
694	12701	5574
695	12712	5552
696	12721	5530
697	12730	5508
698	12735	5484
699	12743	5461
700	12751	5438
701	12758	5416
702	12764	5392
703	12771	5369
704	12777	5346
705	12784	5323
706	12791	5300
707	12801	5279
708	12808	5257
709	12819	5235
710	12826	5213
711	12833	5191
712	12837	5167
713	12846	5145
714	12852	5122
715	12861	5101
716	12869	5079
717	12876	5057
718	12885	5035
719	12892	5013
720	12899	4991
721	12908	4970
722	12916	4948
723	12923	4926
724	12930	4904
725	12940	4883
726	12948	4862
727	12959	4842
728	12967	4820
729	12974	4798
730	12982	4777
731	12989	4755
732	12998	4734
733	13007	4713
734	13012	4691
735	13018	4669
736	13026	4648
737	13034	4627
738	13042	4606
739	13051	4585
740	13058	4564
741	13067	4543
742	13075	4522
743	13081	4501
744	13089	4480
745	13096	4459
746	13104	4438
747	13112	4417
748	13122	4397
749	13130	4376
750	13137	4355
751	13146	4335
752	13153	4314
753	13161	4293
754	13169	4273
755	13178	4253
756	13185	4232
757	13191	4211
758	13199	4191
759	13205	4170
760	13210	4148
761	13217	4128
762	13224	4107
763	13230	4086
764	13237	4066
765	13244	4046
766	13254	4026
767	13263	4006
768	13269	3986
769	13273	3964
770	13281	3944
771	13285	3923
772	13290	3902
773	13298	3882
774	13304	3862
775	13312	3842
776	13319	3822
777	13327	3802
778	13335	3783
779	13342	3763
780	13349	3743
781	13357	3723
782	13365	3704
783	13375	3685
784	13383	3665
785	13392	3646
786	13400	3626
787	13408	3607
788	13415	3587
789	13424	3568
790	13433	3549
791	13443	3530
792	13452	3511
793	13461	3492
794	13470	3473
795	13477	3454
796	13487	3435
797	13497	3416
798	13506	3397
799	13515	3378
800	13523	3359
801	13530	3340
802	13538	3321
803	13552	3303
804	13559	3284
805	13568	3265
806	13573	3246
807	13580	3227
808	13585	3207
809	13592	3188
810	13598	3169
811	13606	3150
812	13613	3131
813	13618	3111
814	13626	3093
815	13633	3074
816	13640	3055
817	13649	3036
818	13656	3018
819	13664	2999
820	13672	2980
821	13679	2962
822	13687	2943
823	13697	2925
824	13706	2907
825	13717	2889
826	13737	2873
827	13743	2855
828	13752	2836
829	13761	2818
830	13769	2800
831	13778	2782
832	13786	2763
833	13795	2745
834	13803	2727
835	13811	2709
836	13820	2691
837	13828	2673
838	13837	2655
839	13843	2636
840	13852	2618
841	13860	2600
842	13867	2582
843	13876	2564
844	13883	2546
845	13893	2529
846	13899	2510
847	13908	2493
848	13916	2475
849	13926	2457
850	13935	2439
851	13940	2421
852	13949	2403
853	13957	2386
854	13965	2368
855	13970	2350
856	13980	2332
857	13987	2315
858	13997	2297
859	14002	2279
860	14009	2261
861	14015	2243
862	14025	2226
863	14034	2209
864	14042	2191
865	14049	2173
866	14057	2156
867	14067	2139
868	14073	2121
869	14081	2104
870	14089	2086
871	14096	2069
872	14103	2051
873	14109	2034
874	14113	2016
875	14119	1998
876	14127	1981
877	14135	1964
878	14140	1946
879	14148	1929
880	14156	1912
881	14164	1894
882	14173	1878
883	14183	1861
884	14193	1844
885	14200	1827
886	14208	1810
887	14217	1793
888	14226	1776
889	14236	1759
890	14244	1742
891	14250	1725
892	14257	1708
893	14265	1691
894	14273	1674
895	14281	1657
896	14291	1641
897	14300	1624
898	14309	1607
899	14317	1590
900	14323	1573
901	14331	1557
902	14338	1540
903	14345	1523
904	14351	1506
905	14359	1489
906	14365	1472
907	14373	1456
908	14382	1439
909	14389	1423
910	14396	1406
911	14402	1389
912	14408	1373
913	14417	1356
914	14425	1340
915	14433	1323
916	14442	1307
917	14449	1290
918	14457	1274
919	14468	1258
920	14474	1241
921	14480	1225
922	14486	1208
923	14494	1192
924	14501	1175
925	14510	1159
926	14519	1143
927	14529	1127
928	14537	1111
929	14544	1094
930	14550	1078
931	14560	1062
932	14567	1046
933	14574	1029
934	14582	1013
935	14588	997
936	14597	981
937	14605	965
938	14612	949
939	14619	933
940	14627	917
941	14633	900
942	14642	885
943	14647	868
944	14657	853
945	14661	836
946	14670	821
947	14676	805
948	14685	789
949	14693	773
950	14700	757
951	14707	741
952	14713	725
953	14720	709
954	14729	694
955	14752	679
956	14766	663
957	14773	647
958	14779	631
959	14786	616
960	14791	600
961	14799	584
962	14809	569
963	14818	553
964	14825	537
965	14833	522
966	14841	506
967	14847	490
968	14855	475
969	14860	459
970	14870	444
971	14880	428
972	14886	413
973	14895	397
974	14903	382
975	14910	366
976	14923	351
977	14930	335
978	14937	320
979	14943	304
980	14953	289
981	14962	274
982	14971	258
983	14978	243
984	14987	228
985	14992	212
986	15001	197
987	15008	182
988	15014	166
989	15022	151
990	15029	136
991	15038	121
992	15046	106
993	15053	90
994	15059	75
995	15068	60
996	15075	45
997	15082	30
998	15088	15
999	15097	0
